,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
8085,0.344,0.832,247059,0.431,0,5.48e-06,8,0.114,-9.81,0,69,0.197,81.597,0.847
8113,0.479,0.877,281120,0.529,1,0.00159,0,0.094,-6.235,0,63,0.0461,104.984,0.422
8144,0.41,0.766,166266,0.485,0,0.0,3,0.102,-5.952,1,74,0.0349,124.99,0.522
8150,0.438,0.774,179627,0.603,0,4.37e-05,11,0.0869,-7.319,1,69,0.0591,149.982,0.977
8151,0.0736,0.702,195333,0.608,0,0.0,3,0.129,-6.843,1,70,0.0359,75.012,0.597
16173,0.479,0.877,281120,0.529,1,0.00159,0,0.094,-6.235,0,71,0.0461,104.984,0.422
24195,0.0276,0.796,202720,0.777,0,2.87e-05,11,0.095,-6.112,0,69,0.0567,141.97,0.96
32215,0.608,0.438,170587,0.315,0,0.0,8,0.151,-8.186,1,69,0.0375,190.064,0.449
40169,0.738,0.485,135493,0.412,0,0.0,9,0.12,-7.766,0,70,0.042,64.062,0.612
40198,0.49,0.465,176733,0.494,0,0.0,4,0.127,-7.595,0,69,0.066,127.298,0.457
40202,0.243,0.688,230693,0.812,0,0.0,2,0.0742,-4.355,1,5,0.135,89.01,0.834
40216,0.05,0.824,185419,0.503,0,5.25e-05,6,0.107,-6.94,0,67,0.156,109.397,0.784
70593,0.00337,0.772,178013,0.616,0,2.36e-06,7,0.104,-4.673,1,67,0.102,129.967,0.279
78065,0.311,0.655,209213,0.578,0,0.0,9,0.109,-5.711,0,67,0.0534,145.869,0.546
87946,0.321,0.834,247059,0.454,1,6.15e-06,1,0.114,-9.75,0,95,0.201,81.618,0.837
87953,0.223,0.597,228482,0.45,0,0.0,8,0.382,-6.658,1,94,0.0418,178.765,0.537
87954,0.0706,0.676,237735,0.609,1,0.0,2,0.152,-5.831,0,90,0.481,142.037,0.508
87955,0.629,0.735,220488,0.449,1,0.0,10,0.113,-7.507,1,88,0.347,122.947,0.0397
87964,0.317,0.811,212869,0.553,0,0.0,9,0.105,-6.644,1,90,0.0552,148.014,0.86
87974,0.167,0.73,221820,0.729,0,1.39e-06,4,0.349,-3.434,0,89,0.0886,113.012,0.467
